industry,start,end,sentiment
travel-services,2012-04-01,2012-04-31,0.00024514592194556427
travel-services,2012-05-01,2012-05-31,0.25007278099656105
travel-services,2012-06-01,2012-06-31,0.9977615305355617
travel-services,2012-07-01,2012-07-31,-0.09106494621797041
travel-services,2012-08-01,2012-08-31,-0.16670499742031097
travel-services,2012-09-01,2012-09-31,0.6904681095710168
travel-services,2012-10-01,2012-10-31,0.6963606625795364
travel-services,2012-11-01,2012-11-31,0.462911848227183
travel-services,2012-12-01,2012-12-31,0.42714015926633564
travel-services,2013-01-01,2013-01-31,0.18520119327765244
travel-services,2013-02-01,2013-02-31,-0.19729512493784834
travel-services,2013-03-01,2013-03-31,-0.30890448276813215
travel-services,2013-04-01,2013-04-31,-0.16047065296480734
travel-services,2013-05-01,2013-05-31,0.03746374845504761
travel-services,2013-06-01,2013-06-31,-0.2541026435792446
travel-services,2013-07-01,2013-07-31,0.42942268980873954
travel-services,2013-08-01,2013-08-31,0.48978711664676666
travel-services,2013-09-01,2013-09-31,-0.4994351714849472
travel-services,2013-10-01,2013-10-31,0.5542201995849609
travel-services,2013-11-01,2013-11-31,0.7762289143337144
travel-services,2013-12-01,2013-12-31,0.5986593181014062
travel-services,2014-01-01,2014-01-31,0.9976570457220078
travel-services,2014-02-01,2014-02-31,-0.0014302372932434083
travel-services,2014-03-01,2014-03-31,0.3722786419093609
travel-services,2014-04-01,2014-04-31,0.9965826135415298
travel-services,2014-05-01,2014-05-31,0.8794222649405984
travel-services,2014-06-01,2014-06-31,0.6649921834468842
travel-services,2014-07-01,2014-07-31,0.6703415393829346
travel-services,2014-08-01,2014-08-31,0.7639174716813224
travel-services,2014-09-01,2014-09-31,-0.2936202427920173
travel-services,2014-10-01,2014-10-31,-0.36774393249499165
travel-services,2014-11-01,2014-11-31,-0.1436671540141105
travel-services,2014-12-01,2014-12-31,0.07475070009414966
travel-services,2015-01-01,2015-01-31,0.5542282859484354
travel-services,2015-02-01,2015-02-31,0.5377042660346398
travel-services,2015-03-01,2015-03-31,0.44928623641371734
travel-services,2015-04-01,2015-04-31,0.0845674650259018
travel-services,2015-05-01,2015-05-31,0.035501522646779596
travel-services,2015-06-01,2015-06-31,0.47417118648688
travel-services,2015-07-01,2015-07-31,0.7119379118084908
travel-services,2015-08-01,2015-08-31,0.33251967032750446
travel-services,2015-09-01,2015-09-31,0.1419327003615243
travel-services,2015-10-01,2015-10-31,0.6649824579556783
travel-services,2015-11-01,2015-11-31,0.2491375346887112
travel-services,2015-12-01,2015-12-31,-0.10010735593080519
travel-services,2016-01-01,2016-01-31,-0.33322837948799133
travel-services,2016-02-01,2016-02-31,-0.059109999853021955
travel-services,2016-03-01,2016-03-31,0.09058706326918169
travel-services,2016-04-01,2016-04-31,0.844448942404527
travel-services,2016-05-01,2016-05-31,0.9980339467525482
travel-services,2016-06-01,2016-06-31,0.48880980610847474
travel-services,2016-07-01,2016-07-31,-0.05749844085602533
travel-services,2016-08-01,2016-08-31,-0.2727749997919256
travel-services,2016-09-01,2016-09-31,-0.33292951981226604
travel-services,2016-10-01,2016-10-31,0.2995913714170456
travel-services,2016-11-01,2016-11-31,0.7309906125068665
travel-services,2016-12-01,2016-12-31,0.4988087937235832
travel-services,2017-01-01,2017-01-31,-0.49965980648994446
travel-services,2017-02-01,2017-02-31,-0.0835374872585138
travel-services,2017-03-01,2017-03-31,0.46928699712893546
travel-services,2017-04-01,2017-04-31,0.8441311212686392
travel-services,2017-05-01,2017-05-31,0.7126576815332685
travel-services,2017-06-01,2017-06-31,0.7982608616352082
travel-services,2017-07-01,2017-07-31,0.8443187475204468
travel-services,2017-08-01,2017-08-31,0.44891015500247483
travel-services,2017-09-01,2017-09-31,0.10484623815323175
travel-services,2017-10-01,2017-10-31,-0.1817187782872807
travel-services,2017-11-01,2017-11-31,-0.46065710472693816
travel-services,2017-12-01,2017-12-31,0.16675157849788666
travel-services,2018-01-01,2018-01-31,0.4383113003730774
travel-services,2018-02-01,2018-02-31,0.28164371363759044
travel-services,2018-03-01,2018-03-31,0.2689443443273504
travel-services,2018-04-01,2018-04-31,0.27189203671046663
travel-services,2018-05-01,2018-05-31,0.2553950168869712
travel-services,2018-06-01,2018-06-31,0.534143242571089
travel-services,2018-07-01,2018-07-31,0.33244161473380196
travel-services,2018-08-01,2018-08-31,0.36278294560204855
travel-services,2018-09-01,2018-09-31,0.355818332239134
travel-services,2018-10-01,2018-10-31,0.35231355440721795
travel-services,2018-11-01,2018-11-31,0.13045602518579233
travel-services,2018-12-01,2018-12-31,-0.3561528775875057
travel-services,2019-01-01,2019-01-31,0.9725141790178087
travel-services,2019-02-01,2019-02-31,0.9965379238128662
travel-services,2019-03-01,2019-03-31,0.9973763227462769
travel-services,2019-04-01,2019-04-31,0.42740821838378906
travel-services,2019-05-01,2019-05-31,0.1666033367315928
travel-services,2019-06-01,2019-06-31,-0.42771767718451364
travel-services,2019-07-01,2019-07-31,-0.2633812239295558
travel-services,2019-08-01,2019-08-31,0.27042613246224145
travel-services,2019-09-01,2019-09-31,-0.4303297485624041
travel-services,2019-10-01,2019-10-31,-0.05175389427887766
travel-services,2019-11-01,2019-11-31,0.059597664019640756
